target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,delta_max,mu_delta_max,beta,alpha,gamma,P_NUMA
CPU_NEON,64,2,V1,omp_for,klon_first,normal1,3932160,6.255908,946.240421,4781.187673,2269.617490,14237.326660,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_for,klon_first,uniform,983040,39.927930,252.229445,10057.324169,1182.380314,47218.247078,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_for,klon_first,normal1,7864320,3.169592,1824.578948,4259.084933,3008.863656,9525.601468,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_for,klon_first,uniform,7864320,4.497852,1022.504831,4263.460386,2022.750237,9095.034171,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_for,klon_first,uniform,7864320,4.998914,1957.796626,8535.187081,4045.503536,20228.146593,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_for,klon_first,uniform,491520,71.408789,60.686795,4340.163168,349.730119,24970.288477,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_for,klon_first,uniform,245760,141.650391,22.564913,3223.744359,201.076286,28479.730127,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_for,klon_first,normal1,983040,24.962012,202.344356,5027.951199,966.914197,24143.260925,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_for,klon_first,uniform,3932160,9.995630,1048.952179,9572.453737,2951.149620,29507.979773,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_for,klon_first,normal1,491520,40.713281,53.177272,2170.903452,293.337248,11941.423218,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_for,klon_first,normal1,7864320,2.584814,987.780284,2127.551832,1504.356719,3886.921190,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_for,klon_first,normal4,3932160,6.299121,933.571937,4764.269814,2262.059286,14230.913745,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_for,klon_first,normal1,245760,80.873437,19.962773,1645.353217,174.231527,14101.379102,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_for,klon_first,normal4,983040,24.966016,201.890481,5016.896630,967.602087,24161.120593,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_for,klon_first,normal4,7864320,3.267627,1758.998650,4256.395605,3008.859392,9803.027404,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_for,klon_first,normal4,7864320,2.632434,971.164842,2126.141993,1504.368658,3955.755416,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_for,klon_first,normal4,491520,40.714258,52.771846,2154.826803,294.684904,12004.107983,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_for,klon_first,sequential,3932160,6.248779,936.471516,4770.057910,2266.418832,14172.204239,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_for,klon_first,sequential,983040,24.969531,202.585694,5036.671336,966.390157,24126.814339,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_for,klon_first,normal4,245760,80.856641,19.858781,1636.940068,174.588949,14126.684961,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_for,klon_first,sequential,7864320,3.124744,1836.313913,4272.617964,3021.441226,9429.036339,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_for,klon_first,sequential,491520,40.715625,53.140717,2170.371276,290.986287,11851.870671,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_for,klon_first,sequential,7864320,2.561829,991.864839,2134.162891,1510.653335,3870.744618,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_for,klon_first,sequential,245760,80.851172,20.103210,1655.300448,176.247884,14252.406413,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_collapse2,klon_first,uniform,3932160,9.995630,1048.952179,9572.453737,2951.149620,29507.979773,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_collapse2,klon_first,uniform,983040,39.927930,252.229445,10057.324169,1182.380314,47218.247078,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_collapse2,klon_first,uniform,7864320,4.497852,1022.504831,4263.460386,2022.750237,9095.034171,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_collapse2,klon_first,normal1,7864320,3.169592,1824.578948,4259.084933,3008.863656,9525.601468,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_collapse2,klon_first,normal1,3932160,6.255908,946.240421,4781.187673,2269.617490,14237.326660,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_collapse2,klon_first,uniform,491520,71.408789,60.686795,4340.163168,349.730119,24970.288477,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_collapse2,klon_first,normal1,983040,24.962012,202.344356,5027.951199,966.914197,24143.260925,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_collapse2,klon_first,uniform,245760,141.650391,22.564913,3223.744359,201.076286,28479.730127,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_collapse2,klon_first,uniform,7864320,4.998914,1957.796626,8535.187081,4045.503536,20228.146593,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_collapse2,klon_first,normal1,7864320,2.584814,987.780284,2127.551832,1504.356719,3886.921190,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_collapse2,klon_first,normal1,491520,40.713281,53.177272,2170.903452,293.337248,11941.423218,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_collapse2,klon_first,normal4,3932160,6.299121,933.571937,4764.269814,2262.059286,14230.913745,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_collapse2,klon_first,normal1,245760,80.873437,19.962773,1645.353217,174.231527,14101.379102,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_collapse2,klon_first,normal4,983040,24.966016,201.890481,5016.896630,967.602087,24161.120593,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_collapse2,klon_first,normal4,7864320,3.267627,1758.998650,4256.395605,3008.859392,9803.027404,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_collapse2,klon_first,normal4,7864320,2.632434,971.164842,2126.141993,1504.368658,3955.755416,64,0.1600,2.0000,4
CPU_NEON,64,2,V1,omp_collapse2,klon_first,sequential,3932160,6.248779,936.471516,4770.057910,2266.418832,14172.204239,64,0.1600,2.0000,4
CPU_AVX512,64,8,V1,omp_collapse2,klon_first,sequential,983040,24.969531,202.585694,5036.671336,966.390157,24126.814339,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_collapse2,klon_first,normal4,245760,80.856641,19.858781,1636.940068,174.588949,14126.684961,64,0.1600,2.0000,4
CPU_scalar,64,1,V1,omp_collapse2,klon_first,sequential,7864320,3.124744,1836.313913,4272.617964,3021.441226,9429.036339,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_collapse2,klon_first,sequential,491520,40.715625,53.140717,2170.371276,290.986287,11851.870671,64,0.1600,2.0000,4
GPU_halfw,128,16,V1,omp_collapse2,klon_first,normal4,491520,40.714258,52.771846,2154.826803,294.684904,12004.107983,64,0.1600,2.0000,4
GPU_scalar,128,1,V1,omp_collapse2,klon_first,sequential,7864320,2.561829,991.864839,2134.162891,1510.653335,3870.744618,64,0.1600,2.0000,4
GPU_warp32,128,32,V1,omp_collapse2,klon_first,sequential,245760,80.851172,20.103210,1655.300448,176.247884,14252.406413,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_for,klon_first,uniform,3932160,9.995630,1046.722280,9572.873009,2951.149620,29502.547135,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_for,klon_first,uniform,983040,39.927930,251.674431,10059.001256,1182.380314,47210.136060,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_for,klon_first,uniform,7864320,4.998914,1955.144603,8535.396717,4045.503536,20235.120526,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_for,klon_first,uniform,7864320,4.497852,1021.883410,4263.565205,2022.750237,9094.401080,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_for,klon_first,normal1,7864320,3.169592,1822.551940,4259.294569,3008.863656,9523.314411,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_for,klon_first,uniform,491520,71.408789,60.664985,4341.840260,349.730119,24972.826676,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_for,klon_first,normal1,983040,24.962012,201.124444,5029.628287,966.914197,24139.921594,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_for,klon_first,normal1,3932160,6.255908,943.419830,4781.606945,2269.617490,14240.451398,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_for,klon_first,uniform,245760,141.650391,22.607929,3236.879262,201.076286,28479.730127,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_for,klon_first,normal1,491520,40.713281,53.087407,2172.580544,293.337248,11942.931535,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_for,klon_first,normal1,7864320,2.584814,987.269691,2127.656651,1504.356719,3887.050672,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_for,klon_first,normal1,245760,80.873437,20.035144,1658.488120,174.231527,14101.379102,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_for,klon_first,normal4,3932160,6.299121,930.898860,4764.689086,2262.059286,14225.896344,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_for,klon_first,normal4,983040,24.966016,200.626861,5018.573718,967.602087,24158.603528,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_for,klon_first,normal4,7864320,3.267627,1757.008043,4256.605241,3008.859392,9800.732053,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_for,klon_first,normal4,491520,40.714258,52.681528,2156.503895,294.684904,12001.400675,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_for,klon_first,sequential,3932160,6.248779,933.720005,4770.477182,2266.418832,14169.437961,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_for,klon_first,normal4,245760,80.856641,19.931153,1650.074971,174.588949,14126.684961,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_for,klon_first,sequential,7864320,3.124744,1834.150510,4272.827600,3021.441226,9426.637165,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_for,klon_first,sequential,983040,24.969531,201.327542,5038.348424,966.390157,24132.963713,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_for,klon_first,sequential,491520,40.715625,53.068030,2172.048368,290.986287,11849.971533,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_for,klon_first,normal4,7864320,2.632434,970.665090,2126.246811,1504.368658,3955.791422,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_for,klon_first,sequential,7864320,2.561829,991.354446,2134.267709,1510.653335,3869.550758,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_for,klon_first,sequential,245760,80.851172,20.176407,1668.435351,176.247884,14252.406413,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,uniform,3932160,9.995630,1046.722280,9572.873009,2951.149620,29502.547135,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,uniform,983040,39.927930,251.674431,10059.001256,1182.380314,47210.136060,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,uniform,7864320,4.998914,1955.144603,8535.396717,4045.503536,20235.120526,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,uniform,7864320,4.497852,1021.883410,4263.565205,2022.750237,9094.401080,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,normal1,7864320,3.169592,1822.551940,4259.294569,3008.863656,9523.314411,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,normal1,3932160,6.255908,943.419830,4781.606945,2269.617490,14240.451398,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,uniform,491520,71.408789,60.664985,4341.840260,349.730119,24972.826676,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,normal1,983040,24.962012,201.124444,5029.628287,966.914197,24139.921594,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,normal1,491520,40.713281,53.087407,2172.580544,293.337248,11942.931535,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,normal1,7864320,2.584814,987.269691,2127.656651,1504.356719,3887.050672,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,normal1,245760,80.873437,20.035144,1658.488120,174.231527,14101.379102,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,uniform,245760,141.650391,22.607929,3236.879262,201.076286,28479.730127,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,normal4,983040,24.966016,200.626861,5018.573718,967.602087,24158.603528,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,normal4,3932160,6.299121,930.898860,4764.689086,2262.059286,14225.896344,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,normal4,7864320,3.267627,1757.008043,4256.605241,3008.859392,9800.732053,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,normal4,7864320,2.632434,970.665090,2126.246811,1504.368658,3955.791422,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,normal4,491520,40.714258,52.681528,2156.503895,294.684904,12001.400675,64,0.1600,2.0000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,normal4,245760,80.856641,19.931153,1650.074971,174.588949,14126.684961,64,0.1600,2.0000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,sequential,983040,24.969531,201.327542,5038.348424,966.390157,24132.963713,64,0.1600,2.0000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,sequential,7864320,3.124744,1834.150510,4272.827600,3021.441226,9426.637165,64,0.1600,2.0000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,sequential,7864320,2.561829,991.354446,2134.267709,1510.653335,3869.550758,64,0.1600,2.0000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,sequential,491520,40.715625,53.068030,2172.048368,290.986287,11849.971533,64,0.1600,2.0000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,sequential,3932160,6.248779,933.720005,4770.477182,2266.418832,14169.437961,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,uniform,983040,7.052059,9266.006015,119447.996226,32361.818928,246745.078977,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_for,klev_first,uniform,3932160,1.763015,2316.501504,29861.999057,8090.454732,61686.269744,64,0.1600,2.0000,4
